
G = Sp(6, 2),  |G| = 1451520
    O(7,2)

Sp(6, 2)-conjugacy classes:  1369
Total subgroups:               11094174

Isomorphism classes  (Sp(6, 2)-conjugacy):

  Isomorphism type                Order   Conj.classes  #Subgroups  Name
  --------------------------------------------------------------------------
  SmallGroup(128, 2194)              128             1        2835  C2 x D8 x D8
  SmallGroup(128, 2323)              128             1         315  C2 x C2 x ((C2 x C2 x C2) : (C2 x C2))
  SmallGroup(144, 125)               144             1       10080  (C3 x SL(2,3)) : C2
  SmallGroup(144, 183)               144             8       40320  S4 x S3
  SmallGroup(144, 184)               144             1         630  A4 x A4
  SmallGroup(144, 186)               144             1       10080  C2 x ((S3 x S3) : C2)
  SmallGroup(144, 188)               144             2       10080  C6 x S4
  SmallGroup(144, 189)               144             2       10080  C2 x ((C3 x A4) : C2)
  SmallGroup(144, 190)               144             2       10080  C2 x S3 x A4
  SmallGroup(160, 234)               160             2        4536  ((C2 x C2 x C2 x C2) : C5) : C2
  SmallGroup(160, 235)               160             1        2268  C2 x ((C2 x C2 x C2 x C2) : C5)
  SmallGroup(162, 10)                162             1        4480  ((C3 x C3 x C3) : C3) : C2
  SmallGroup(162, 11)                162             1        4480  ((C3 x C3 x C3) : C3) : C2
  SmallGroup(162, 19)                162             1        4480  ((C3 x C3 x C3) : C3) : C2
  SmallGroup(168, 42)                168             2       12960  PSL(3,2)
  SmallGroup(168, 43)                168             2       17280  (C2 x C2 x C2) : (C7 : C3)
  SmallGroup(180, 19)                180             2        4032  GL(2,4)
  SmallGroup(192, 197)               192             1        7560  (((C4 x C2) : C4) : C2) : C3
  SmallGroup(192, 201)               192             4       17010  (((C2 x C2 x C2 x C2) : C2) : C2) : C3
  SmallGroup(192, 944)               192             2        7560  C2 x (((C4 x C4) : C3) : C2)
  SmallGroup(192, 955)               192             4       15120  (((C2 x C2 x C2 x C2) : C3) : C2) : C2
  SmallGroup(192, 956)               192             4       15120  (((C4 x C4) : C3) : C2) : C2
  SmallGroup(192, 976)               192             1        7560  (A4 : C8) : C2
  SmallGroup(192, 980)               192             1        7560  (SL(2,3) : C4) : C2
  SmallGroup(192, 988)               192             2       15120  (SL(2,3) : C4) : C2
  SmallGroup(192, 1000)              192             1        3780  C2 x (((C2 x C2 x C2 x C2) : C2) : C3)
  SmallGroup(192, 1002)              192             1        3780  C2 x (((C4 x C4) : C2) : C3)
  SmallGroup(192, 1469)              192             1        3780  C2 x C4 x S4
  SmallGroup(192, 1470)              192             1        3780  C2 x ((C4 x A4) : C2)
  SmallGroup(192, 1472)              192             8       30240  D8 x S4
  SmallGroup(192, 1488)              192             2        7560  C2 x ((C2 x C2 x A4) : C2)
  SmallGroup(192, 1490)              192             2       11340  ((C2 x C2 x Q8) : C3) : C2
  SmallGroup(192, 1493)              192             4        6300  (((C2 x C2 x C2) : (C2 x C2)) : C3) : C2
  SmallGroup(192, 1494)              192             4       17010  (((C2 x C2 x C2) : (C2 x C2)) : C3) : C2
  SmallGroup(192, 1497)              192             1        3780  C2 x D8 x A4
  SmallGroup(192, 1507)              192             1        1890  (C2 x C2 x ((C4 x C2) : C2)) : C3
  SmallGroup(192, 1508)              192             1         945  C2 x (((C2 x C2 x C2) : (C2 x C2)) : C3)
  SmallGroup(192, 1537)              192             2        5040  C2 x C2 x C2 x S4
  SmallGroup(192, 1538)              192             8       27720  C2 x (((C2 x C2 x C2 x C2) : C3) : C2)
  SmallGroup(192, 1540)              192             1        3780  C2 x C2 x ((C2 x C2 x C2 x C2) : C3)
  SmallGroup(216, 86)                216             1        3360  ((C3 x C3) : C3) : C8
  SmallGroup(216, 87)                216             1        3360  ((C3 x C3) : C3) : D8
  SmallGroup(216, 88)                216             1        1120  ((C3 x C3) : C3) : Q8
  SmallGroup(216, 156)               216             1        3360  ((C3 x C3) : C4) x S3
  SmallGroup(216, 157)               216             1        3360  C3 x ((S3 x S3) : C2)
  SmallGroup(216, 158)               216             2        6720  (C3 x C3 x C3) : D8
  SmallGroup(216, 159)               216             1        3360  (C3 x C3 x C3) : D8
  SmallGroup(216, 162)               216             2        4480  S3 x S3 x S3
  SmallGroup(240, 189)               240             3       18144  C2 x S5
  SmallGroup(256, 5675)              256             1        2835  (C2 x (((C8 : C2) : C2) : C2)) : C2
  SmallGroup(256, 6029)              256             2        5670  (((C2 x ((C4 x C2) : C2)) : C2) : C2) : C2
  SmallGroup(256, 6074)              256             1        2835  ((((C8 x C2) : C2) : C2) : C2) : C2
  SmallGroup(256, 6076)              256             1        2835  ((C2 x (C4 : C4)) : C4) : C2
  SmallGroup(256, 6331)              256             2        5670  (C2 x (((C2 x C2 x C2) : C4) : C2)) : C2
  SmallGroup(256, 6334)              256             2        5670  (C2 x ((C8 : (C2 x C2)) : C2)) : C2
  SmallGroup(256, 25876)             256             1        2835  (C2 x C2 x ((C2 x C2 x C2) : (C2 x C2))) : C2
  SmallGroup(256, 25886)             256             1         945  ((C2 x ((C2 x C2 x C2 x C2) : C2)) : C2) : C2
  SmallGroup(256, 26531)             256             2        5670  C2 x ((((C2 x C2 x C2) : (C2 x C2)) : C2) : C2)
  SmallGroup(256, 51978)             256             1         945  (C2 x D8 x D8) : C2
  SmallGroup(256, 53380)             256             1         945  C2 x C2 x (((C2 x C2 x C2 x C2) : C2) : C2)
  SmallGroup(288, 859)               288             1        2520  SL(2,3) x A4
  SmallGroup(288, 860)               288             1        1260  ((C2 x C2 x C2) : (C2 x C2)) : (C3 x C3)
  SmallGroup(288, 1024)              288             2        2520  S4 x A4
  SmallGroup(288, 1025)              288             2        2520  (A4 x A4) : C2
  SmallGroup(288, 1026)              288             2        1260  (A4 x A4) : C2
  SmallGroup(288, 1028)              288             2       10080  C2 x S3 x S4
  SmallGroup(288, 1029)              288             1         630  C2 x A4 x A4
  SmallGroup(320, 1635)              320             2        4536  ((C2 x C2 x C2 x C2) : C5) : C4
  SmallGroup(320, 1636)              320             1        2268  C2 x (((C2 x C2 x C2 x C2) : C5) : C2)
  SmallGroup(324, 39)                324             1        4480  ((C3 x C3 x C3) : C3) : (C2 x C2)
  SmallGroup(324, 160)               324             1        1120  ((C3 x C3 x C3) : (C2 x C2)) : C3
  SmallGroup(336, 208)               336             1        4320  PSL(3,2) : C2
  SmallGroup(360, 118)               360             2        1344  A6
  SmallGroup(360, 119)               360             2        4032  C3 x S5
  SmallGroup(360, 120)               360             2        4032  C3 : S5
  SmallGroup(360, 121)               360             2        4032  A5 x S3
  SmallGroup(384, 602)               384             1         945  ((((C4 x C2) : C4) : C2) : C2) : C3
  SmallGroup(384, 5602)              384             4       11340  ((((C2 x C2 x C2) : (C2 x C2)) : C3) : C2) : C2
  SmallGroup(384, 5833)              384             1         945  C2 x ((((C2 x C2 x C2 x C2) : C2) : C2) : C3)
  SmallGroup(384, 5863)              384             1         945  ((C2 x ((C2 x C2 x C2 x C2) : C2)) : C2) : C3
  SmallGroup(384, 17948)             384             1        3780  C2 x ((((C2 x C2 x C2 x C2) : C3) : C2) : C2)
  SmallGroup(384, 17949)             384             1        3780  C2 x ((((C4 x C4) : C3) : C2) : C2)
  SmallGroup(384, 18139)             384             1        1890  ((C2 x C2 x Q8) : C3) : C4
  SmallGroup(384, 18141)             384             1         945  (((C2 x C2 x C2) : (C2 x C2)) : C3) : C4
  SmallGroup(384, 20051)             384             1        3780  C2 x S4 x D8
  SmallGroup(384, 20086)             384             1        1890  ((C2 x C2 x ((C4 x C2) : C2)) : C3) : C2
  SmallGroup(384, 20089)             384             2        1890  C2 x ((((C2 x C2 x C2) : (C2 x C2)) : C3) : C2)
  SmallGroup(384, 20090)             384             1         945  C2 x ((((C2 x C2 x C2) : (C2 x C2)) : C3) : C2)
  SmallGroup(384, 20119)             384             1         630  (C2 x C2 x ((C2 x C2 x C2) : (C2 x C2))) : C3
  SmallGroup(384, 20120)             384             1         315  C2 x C2 x (((C2 x C2 x C2) : (C2 x C2)) : C3)
  SmallGroup(384, 20126)             384             1         315  (C2 x C2 x ((C2 x C2 x C2) : (C2 x C2))) : C3
  SmallGroup(384, 20163)             384             1        3780  C2 x C2 x (((C2 x C2 x C2 x C2) : C3) : C2)
  SmallGroup(432, 520)               432             1        3360  ((C3 x C3) : C3) : QD16
  SmallGroup(432, 741)               432             1        3360  ((S3 x S3) : C2) x S3
  SmallGroup(448, 1394)              448             1        1080  (C2 x C2 x C2 x C2 x C2 x C2) : C7
  SmallGroup(504, 156)               504             1         960  PSL(2,8)
